Tamanho,Tempo Médio (ns),Desvio Padrão (ns),Mínimo (ns),Máximo (ns),Mediana (ns),Moda (ns)
100000,0.00014,0.00024,0.0,0.00130,0.00010,0.00001
200000,0.00011,0.00015,0.0,0.00071,0.00006,0.00001
400000,0.00017,0.00030,0.00001,0.00133,0.00008,0.00002
800000,0.00024,0.00071,0.0,0.00396,0.00011,0.00006
1600000,0.00066,0.00140,0.00006,0.00463,0.00024,0.00006
