Tamanho,Tempo Médio (ms),Desvio Padrão (ms),Mínimo (ms),Máximo (ms),Mediana (ms),Moda (ms)
100000,1992.5666666666666,5.81130487651578,1983,2004,1991.0,1991
200000,7969.466666666666,30.808343398964276,7930,8095,7963.5,7946
400000,31843.6,44.2622280007029,31764,31951,31839.5,31783
800000,127412.63333333333,1460.2478883402978,119839,128781,127630.5,119839
1600000,890617.9,39169.300412014854,813480,953582,896166.5,813480
