Tamanho,Operações Médias,Desvio Padrão,Mínimo,Máximo,Mediana,Moda
100000,14999850000.0,0.0,14999850000,14999850000,14999850000.0,14999850000
200000,59999700000.0,0.0,59999700000,59999700000,59999700000.0,59999700000
400000,239999400000.0,0.0,239999400000,239999400000,239999400000.0,239999400000
800000,959998800000.0,0.0,959998800000,959998800000,959998800000.0,959998800000
1600000,3839995200000.0,0.0,3839995200000,3839995200000,3839995200000.0,3839995200000
