Tamanho,Operações Médias,Desvio Padrão,Mínimo,Máximo,Mediana,Moda
100000,15.833333333333334,1.2340942045675145,12,17,16.0,17
200000,16.433333333333334,1.3817363722139075,13,18,17.0,17
400000,17.7,1.3933338832974773,14,19,18.0,19
800000,18.466666666666665,1.5477087254553341,14,20,19.0,19
1600000,19.6,1.4298407059684815,17,21,19.5,21
