Tamanho,Operações Médias,Desvio Padrão,Mínimo,Máximo,Mediana,Moda
100000,4999950000.0,0.0,4999950000,4999950000,4999950000.0,4999950000
200000,19999900000.0,0.0,19999900000,19999900000,19999900000.0,19999900000
400000,7999800000.0,0.0,7999800000,7999800000,7999800000.0,7999800000
800000,319999600000.0,0.0,319999600000,319999600000,319999600000.0,319999600000
1600000,1279999200000.0,0.0,1279999200000,1279999200000,1279999200000.0,1279999200000
