Tamanho,Tempo Médio (ns),Desvio Padrão (ns),Mínimo (ns),Máximo (ns),Mediana (ns),Moda (ns)
100000,3.41e-06,6.63202002825477e-06,1.7e-06,3.85e-05,2.2e-06,2e-06
200000,2.45e-06,8.10172395447307e-07,1.9e-06,6.3e-06,2.2e-06,2.2e-06
400000,2.78e-06,5.378116578416136e-07,2e-06,4.2e-06,2.6e-06,2.4e-06
800000,5.123333333333333e-06,7.150147494660673e-06,2.4e-06,4.27e-05,4.05e-06,4.4e-06
1600000,4.510000000000001e-06,9.267026371915524e-07,3.1e-06,6e-06,4.75e-06,3.4e-06
