Size,BinarySearch,LinearSearch,BubbleSort,InsertionSort,SelectionSort
100000,15.83333,45749.36667,14999850000,2499975000,4999950000
200000,16.43333,86359.30000,59999700000,9999950000,19999900000
400000,17.70000,221521.10000,239999400000,39999900000,7999800000
800000,18.46667,344961.80000,959998800000,159999800000,319999600000
1600000,19.60000,700399.50000,3839995200000,639999600000,1279999200000
