Tamanho,Operações Médias,Desvio Padrão,Mínimo,Máximo,Mediana,Moda
100000,2499975000.0,0.0,2499975000,2499975000,2499975000.0,2499975000
200000,9999950000.0,0.0,9999950000,9999950000,9999950000.0,9999950000
400000,39999900000.0,0.0,39999900000,39999900000,39999900000.0,39999900000
800000,159999800000.0,0.0,159999800000,159999800000,159999800000.0,159999800000
1600000,639999600000.0,0.0,639999600000,639999600000,639999600000.0,639999600000
