Tamanho,BinarySearch,LinearSearch,BubbleSort,InsertionSort,SelectionSort
100000,3.4100e-06,0.00014,15504,1993,2079
200000,2.4500e-06,0.00011,56778,7969,8337
400000,2.7800e-06,0.00017,226645,31844,31274
800000,5.1233e-06,0.00024,933720,127413,125123
1600000,4.5100e-06,0.00066,2414677,890618,646569
