Tamanho,Operações Médias,Desvio Padrão,Mínimo,Máximo,Mediana,Moda
100000,45749.36666666667,28245.526363489404,3312,97159,47960.0,3312
200000,86359.3,58977.44593056827,1939,193176,76534.5,1939
400000,221521.1,102462.15041237221,27463,389816,217657.5,27463
800000,344961.8,253090.06893163684,11665,779418,309657.5,11665
1600000,700399.5,367068.91055623937,189513,1187509,730100.0,189513
