Tamanho,Tempo Médio (ms),Desvio Padrão (ms),Mínimo (ms),Máximo (ms),Mediana (ms),Moda (ms)
100000,15503.933333333332,1040.1615237078802,13528,18042,15695.0,13528
200000,56778.066666666666,2137.57829351805,54229,61274,55778.5,54229
400000,226644.8,17103.613988741155,214560,270706,219572.0,214560
800000,933720.4666666667,92307.50901563352,856742,1257822,887445.5,856742
1600000,2414677.1,25816.545480455832,2376543,2456789,2408678.5,2376543
