Tamanho,Tempo Médio (ms),Desvio Padrão (ms),Mínimo (ms),Máximo (ms),Mediana (ms),Moda (ms)
100000,2079.0333333333333,639.2455943415313,1690,3158,1700.0,1694
200000,8336.7,2515.698780691443,6816,12478,6848.0,6822
400000,31274.366666666665,5019.697596904401,29877,49750,29961.0,29897
800000,125123.4,20070.47111898301,119752,199140,119844.5,119814
1600000,646568.8,333839.8379884848,464169,1512610,466539.0,464169
