2003, 2499975000
2002, 2499975000
1995, 2499975000
1990, 2499975000
1991, 2499975000
1991, 2499975000
2002, 2499975000
1984, 2499975000
1988, 2499975000
1993, 2499975000
2004, 2499975000
1987, 2499975000
1989, 2499975000
1988, 2499975000
1987, 2499975000
1993, 2499975000
1991, 2499975000
1990, 2499975000
1983, 2499975000
2000, 2499975000
1993, 2499975000
1993, 2499975000
1998, 2499975000
1997, 2499975000
1989, 2499975000
2000, 2499975000
1988, 2499975000
1992, 2499975000
1985, 2499975000
1991, 2499975000
